"","hr","r","rbi","sb","xavg","zsum"
"Wilson Ramos",-0.5325462577061,-1.4315489048282,-0.872915963392904,-0.870944353702809,-0.0266923142451653,-3.73464779387518
"Joc Pederson",1.27003608899339,0.499799330123201,0.513124949575822,0.0651104934322141,-1.18959265339241,1.15847820873222
"Chase Headley",-0.237295700919114,-0.00943075111800392,-0.136761453600386,-0.33811313302595,-0.66474054726959,-1.38634158593304
"Steven Souza",0.32212640667728,0.0340401094757575,-0.165517489139156,0.295523994265451,-1.19479321929334,-0.708620198014005
"Mike Zunino",0.368744915643646,-0.767065750037845,-0.240283181539959,-0.842142666098655,-1.8486829108314,-3.32942959286422
"Khris Davis",2.29564328625345,1.02144965724834,1.72087844220417,-0.525324102452955,-0.968626877259444,3.54402040599356
"Denard Span",-0.78117830552672,0.692313141324144,-0.539345951143169,0.741950152129846,0.62449480487195,0.738233841656052
"Adam Lind",-0.346072221840636,-0.891268208877163,-0.401316980557072,-0.856543509900732,-0.0294842423887246,-2.52468516356433
"J.J. Hardy",-0.517006754717312,-0.450349479997584,-0.41281939477258,-0.842142666098655,-0.597921594236709,-2.82023988982284
"Miguel Montero",-1.12304737128007,-1.77931578957829,-1.39052460309077,-0.798940134692423,-0.785812878355893,-5.87764077699744
"Lonnie Chisenhall",-0.563625263683678,-0.444139357055618,0.0357747596322356,-0.33811313302595,0.256754963723185,-1.05334803040983
"Josh Reddick",0.0734943588566601,0.0402502324177234,0.0530283809554977,-0.0644971007864815,0.455363200636566,0.557639072079966
"Mike Napoli",1.13018056209429,0.332126010690121,0.651153920161919,-0.4965224148488,-1.5455167454154,0.0714213326821356
"Brett Lawrie",-0.666185983409683,-1.31479859351924,-1.11561690334012,-0.447559545921737,-0.430465125554633,-3.97462615174542
"Rajai Davis",-0.672401784605199,0.0775109700695188,-0.648618886190496,2.23963790754588,-0.709940748639313,0.286187458180395
"Derek Norris",-0.744919465219546,-1.11276259380728,-0.959184070009215,-0.405317070768977,-1.04532043137506,-4.26750363118008
"Nick Markakis",-0.672401784605199,0.313495641864223,0.28307666526566,-0.741336759484114,0.763185391330385,-0.0539808456290449
"Kendrys Morales",1.15237985207828,0.486491923818988,1.34787158121555,-0.852428983100139,0.189486273485801,2.32380064749848
"Avisail Garcia",-0.128519179997593,0.0029894947659279,-0.0389909327685671,-0.237307226411409,-0.51225580230218,-0.914083646713822
"Jed Lowrie",-1.06088935932492,-0.568341815894936,-0.740638199914561,-0.784539290890346,-0.616382476148626,-3.77079114217339
"Brandon Phillips",-0.78117830552672,-0.183314193493049,-0.165517489139156,0.425131588484146,1.01630489136369,0.31142649168891
"Jason Castro",-0.439309239773368,-0.754645504153913,-0.792399063884347,-0.726935915682037,-1.84346383149485,-4.55675355498852
"Trevor Plouffe",0.0734943588566601,-0.208154685260913,0.346339943450954,-0.683733384275805,-0.565141034003699,-1.0371948012328
"Angel Pagan",-1.26290289817917,-1.04652128242631,-1.27358339189977,0.0171076807586231,0.133315517019719,-3.43258437472691
"Chris Owings",-1.15412637725765,-0.39445837351989,-0.539345951143169,0.972363652963083,0.0863140110233097,-1.02925303793432
"Didi Gregorius",-0.035282162064861,0.108561584779348,0.0587795880632517,-0.280509757817641,0.204229988718876,0.0557792416789741
"Mike Moustakas",0.741692987374575,0.207923551850803,0.495871328252559,-0.698134228077882,-0.044786951853864,0.702566687546192
"Norichika Aoki",-1.41829792806706,-0.785696118863743,-1.43078305284505,0.0507096496301368,0.422846144075792,-3.16122130606992
"Colby Rasmus",0.44644243058759,-0.506240586475277,-0.165517489139156,-0.539724946255032,-1.84158425364598,-2.60662484492785
"Nick Franklin",-0.734559796560354,-1.16451361832366,-0.907423206039428,0.0219079620259822,-0.992836838213983,-3.77742549711145
"John Jaso",-0.967652341392185,-1.07757189713614,-1.05695459084103,-0.726935915682037,0.0946566286715458,-3.73445811637985
"Brad Miller",0.943706526228829,0.543270190716962,0.79493409785577,-0.00689372557817235,-0.82049593481417,1.45452115440922
"Logan Morrison",-0.268374706896692,-0.711174643560152,-0.493336294281137,-0.33811313302595,-0.909367699145033,-2.72036647690896
